<3	<3 🫶
东帝汶	东帝汶 🇹🇱
东正教	东正教 ☦
东正教十字架	东正教十字架 ☦
丝带	丝带 💝 🎀 🎗
两点	两点 🕑
两点半	两点半 🕝
两颗心	两颗心 💕
严肃	严肃 👔
个人	个人 💻
个人电脑	个人电脑 💻
中	中 🖕
中世纪	中世纪 👑
中国	中国 🇨🇳
中国澳门特别行政区	中国澳门特别行政区 🇲🇴
中国香港特别行政区	中国香港特别行政区 🇭🇰
中小	中小 ◾ ◽
中性面容	中性面容 😐
中指	中指 🖕
中文	中文 👲
中立	中立 😐
中等	中等 ⭐ ◼ ◻
中非共和国	中非共和国 🇨🇫
中风	中风 🥵
串烧	串烧 🍢 🍡
丸	丸 💊
丸子	丸子 🍙
丹麦	丹麦 🇩🇰
为什么	为什么 🥺
主要	主要 🔑
主页	主页 🔝
主题	主题 🛝 🎡 🎢
举手	举手 ✋ 🙌
举手的人	举手的人 🙋
举起	举起 🤚 🖐 ✋ 🫴 ✊ 🙌
举起手背	举起手背 🤚
举起拳头	举起拳头 ✊
举重	举重 💪 🏋 🏋️‍♂️ 🏋️‍♀️
举重的人	举重的人 🏋
举重运动员	举重运动员 🏋 🏋️‍♂️ 🏋️‍♀️
乌克兰	乌克兰 🇺🇦
乌兹别克斯坦	乌兹别克斯坦 🇺🇿
乌干达	乌干达 🇺🇬
乌拉圭	乌拉圭 🇺🇾
乌贼	乌贼 🦑
乌鸦	乌鸦 🐦‍⬛
乌龙茶	乌龙茶 🍵
乍得	乍得 🇹🇩
乐器	乐器 🎷 🪗 🎸 🎹 🎺 🎻 🪘 🪇 🪈 🪉
乐谱	乐谱 🎼
乐队	乐队 🪈
乒乓球	乒乓球 🏓
乔伊	乔伊 🦘
乔利	乔利 🏴‍☠️
乘	乘 ✖
乘以	乘以 ✖ ❌
乘客	乘客 ⛴ 🚢
乘法	乘法 ✖ ❌ ❎
九	九 🕘 🕤
九点	九点 🕘
九点半	九点半 🕤
乞求	乞求 🥺 🙏 🙇 🙇‍♂️ 🙇‍♀️
也许	也许 🤷 🤷‍♂️ 🤷‍♀️
也门	也门 🇾🇪
乡村	乡村 🏡
书包	书包 🎒
书呆子	书呆子 🤓
书呆子脸	书呆子脸 🤓
书签	书签 📑 🔖
书签标签	书签标签 📑
书籍	书籍 📔 📕 📖 📗 📘 📙 📚
乱扔垃圾	乱扔垃圾 🚯
乳制品	乳制品 🧈
乳房	乳房 🤱
乳液	乳液 🧴
乳液瓶	乳液瓶 🧴
事实	事实 💯
事故	事故 🫗
二	二 💕 🐫 🕑 🕝
二头肌	二头肌 💪
云	云 😶‍🌫️ 💨 💭 ☁ ⛅ ⛈ 🌤 🌥 🌦 🌧 🌨 🌩 🌪 🌬
云与雪	云与雪 🌨
云中的脸	云中的脸 😶‍🌫️
云后的太阳	云后的太阳 ⛅
互联网	互联网 🌐 🛜
互锁	互锁 🧩
五	五 ✋ 🫷 🫸 🙏 🕔 🕠 🪅
五彩纸屑	五彩纸屑 🎊
五彩纸屑球	五彩纸屑球 🎊
五月	五月 🪅
五点	五点 🕔
五点半	五点半 🕠
亚洲	亚洲 🌏
亚洲-澳大利亚	亚洲-澳大利亚 🌏
亚洲-澳大利亚地球仪	亚洲-澳大利亚地球仪 🌏
亚美尼亚	亚美尼亚 🇦🇲
亡灵	亡灵 🧛 🧛‍♂️ 🧛‍♀️ 🧟 🧟‍♂️ 🧟‍♀️
交叉	交叉 🤞 🫰 🧘 🧘‍♂️ 🧘‍♀️ ⚔ 🔀 ❌ 🎌
交叉手指	交叉手指 🤞
交叉旗帜	交叉旗帜 🎌
交叉的剑	交叉的剑 ⚔
交叉路口	交叉路口 🚥
交叉骨头	交叉骨头 ☠
交易	交易 🤝
交替	交替 〽
交通	交通 🚥 🚦 🚸 ⛔
亮度	亮度 🔅 🔆
亲吻	亲吻 😍 😘 😗 😚 😙 😽 💝 💖 💗 💕 💋 👄 🫦 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩
亲吻脸	亲吻脸 😗 😒
亲吻脸庞	亲吻脸庞 😙
人	人 🥸 🧑 👱 🧔 🧑‍🦰 🧑‍🦱 🧑‍🦳 🧑‍🦲 🧓 🙍 🙎 🙅 🙆 💁 🙋 🧏 🙇 🤦 🤷 👨‍⚖️ 👨‍💻 👨‍🚀 👷 🫅 👳 👲 🤵 👰 🫄 🧞‍♂️ 💆 💇 💇‍♂️ 💇‍♀️ 🚶 🚶‍➡️ 🧍 🧎 🧎‍➡️ 🧑‍🦯 🧑‍🦯‍➡️ 🧑‍🦼 🧑‍🦼‍➡️ 👨‍🦼 👨‍🦼‍➡️ 🧑‍🦽 🧑‍🦽‍➡️ 👨‍🦽 👨‍🦽‍➡️ 🏃 🏃‍➡️ 🕴 🧖 🧗 🧗‍♂️ 🤺 🏌 🏄 🏄‍♀️ 🚣 🚣‍♂️ ⛹ 🏋 🚴 🚵 🤸 🤽 🤾 🤹 🤹‍♂️ 🧘 🛀 🛌 💏 ☃ ⛄ ☯
人仙子	人仙子 🧚‍♂️
人们	人们 👯 👯‍♂️ 🧑‍🤝‍🧑 🫂
人们手牵着手	人们手牵着手 🧑‍🤝‍🧑
人们拥抱	人们拥抱 🫂
人们摔跤	人们摔跤 🤼
人侧手翻	人侧手翻 🤸
人冲浪	人冲浪 🏄
人划艇	人划艇 🚣
人力车	人力车 🛺
人妖	人妖 🧞‍♂️
人字形	人字形 🔰
人字拖	人字拖 🩴
人字拖凉鞋	人字拖凉鞋 🩴
人弹跳球	人弹跳球 ⛹
人欄	人欄 🤺
人殭屍	人殭屍 🧟‍♂️
人物	人物 🧑‍🦰 🧑‍🦳 🥷 🧚 🧚‍♂️ 🧚‍♀️ 👯‍♀️ 🏊 🤼 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩 👥
人类	人类 👱
人走路	人走路 🚶
人鱼	人鱼 🧜 🧜‍♂️
亿万富翁	亿万富翁 🚤
什么	什么 🤨 😳 😦 😧 🤌
介质	介质 🔉
仓鼠	仓鼠 🐹
付钱	付钱 🤑
仙人掌	仙人掌 🌵
仙女	仙女 😇 😈 👿 💀 👹 👺 👻 👽 👾 🤴 👸 👼 🎅 🤶 🧑‍🎄 🧚 🧚‍♂️ 🧚‍♀️ 🧌 🐲 🐉 🔮
令人厌恶	令人厌恶 🤢
令人发狂	令人发狂 😠
令人困惑	令人困惑 😕
令人心碎	令人心碎 😉
令人敬畏	令人敬畏 👏
以色列	以色列 🇮🇱
企鹅	企鹅 🐧
伊拉克	伊拉克 🇮🇶
伊斯兰教	伊斯兰教 🕌 🕋 ☪
伊朗	伊朗 🇮🇷
休息	休息 🔔
休达和梅利利亚	休达和梅利利亚 🇪🇦
休闲	休闲 🚙 👕 👖
优雅	优雅 🧐 💃 🕺 🌹
会计	会计 🧾
会议	会议 🤝 🇷🇪
伞	伞 ☂
伟大的	伟大的 👏
传入信封	传入信封 📨
传呼机	传呼机 📟
传真	传真 📠
传真机	传真机 📠
传票	传票 👮 👮‍♂️ 👮‍♀️
伤​​害	伤​​害 🩼
伦敦	伦敦 💂 💂‍♂️ 💂‍♀️
伪装	伪装 🥸
伪装的脸	伪装的脸 🥸
伯利兹	伯利兹 🇧🇿
伴侣	伴侣 👯 👯‍♂️ 👯‍♀️
伸出	伸出 😜
伸手	伸手 🫱 🫲
似曾相识	似曾相识 🔄
位置	位置 🧘 🧘‍♂️ 🧘‍♀️ 📍
低	低 🔈 🪫 🔅
低垂着的脸	低垂着的脸 😓
体操	体操 🤸 🤸‍♂️ 🤸‍♀️
体育	体育 🏅
体育场	体育场 🏟
佛得角	佛得角 🇨🇻
佛教	佛教 🪷 ☸
佛法	佛法 ☸
你	你 🥰 😘 😗 😒 😮 👋 🤟 🫵 🫶 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
你好	你好 👋 🫂
佩戴	佩戴 👳‍♂️ 👳‍♀️
依偎	依偎 😘 😚 💕
依莉	依莉 💗
侦探	侦探 🕵 🕵️‍♂️ 🕵️‍♀️ 🫆
侧手翻	侧手翻 🤸 🤸‍♂️ 🤸‍♀️
侧面	侧面 🍳
便便	便便 💩
便利店	便利店 🏪
便宜	便宜 👌
便当	便当 🍱
便当盒	便当盒 🍱
便笺本	便笺本 🗒
便笺簿	便笺簿 🗓
俄罗斯	俄罗斯 🪆 🇷🇺
保加利亚	保加利亚 🇧🇬
保姆	保姆 👩‍🍼 👨‍🍼 🧑‍🍼
保护	保护 🪬
保护者	保护者 🛟
保持	保持 🤐 💯
保湿霜	保湿霜 🧴
保留	保留 🈯
保龄球	保龄球 🎳
信件	信件 💌 ✉ 📧 📨 📩 📤 📥
信号	信号 🚥 🚦 📶
信封	信封 🧧 ✉ 📨 📩
信息	信息 ℹ
信标	信标 🚨
信用	信用 💳
信用卡	信用卡 💳
信箱	信箱 📬
修剪	修剪 🪚
修复	修复 ❤️‍🩹 ✅
修指甲	修指甲 💅
修理	修理 👷 👷‍♂️ 👷‍♀️
修补心脏	修补心脏 ❤️‍🩹
修饰	修饰 💇 💇‍♂️ 💇‍♀️
俱乐部	俱乐部 🍷 🍸 🍹 ♣
俱乐部套装	俱乐部套装 ♣
倒	倒 🫗
倒带	倒带 🔄 ⏪
倒立	倒立 🙃
倒立的脸	倒立的脸 🙃
倾倒	倾倒 🫗
倾斜	倾斜 🔍 🔎
假笑	假笑 😏
假肢	假肢 🦾 🦿
做	做 ⛔
做ok手势女人	做ok手势女人 🙆‍♀️
做ok手势男人	做ok手势男人 🙆‍♂️
做ok手势的人	做ok手势的人 🙆
停止	停止 🖐 ✋ 🫷 🫸 🚏 🚥 🚦 🛑 ⏹
停止按钮	停止按钮 ⏹
停车	停车 🅿
停车标志	停车标志 🛑
健康	健康 🧑‍⚕️ 👨‍⚕️ 👩‍⚕️ 🍎 🫚
健美运动员	健美运动员 💪 🏋 🏋️‍♂️ 🏋️‍♀️
健身房	健身房 💪
偷看	偷看 🫣 👀
偷看的脸	偷看的脸 🫣
储物柜	储物柜 🛅
催眠	催眠 😵‍💫
傻笑的脸	傻笑的脸 😏
像素化	像素化 👾
僵尸	僵尸 🧟 🧟‍♂️ 🧟‍♀️
儿子	儿子 👦
儿童	儿童 👶 👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧 👨‍👨‍👦 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧‍👧 👩‍👩‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧‍👧 👪 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒 🚸
儿童过马路	儿童过马路 🚸
兄弟	兄弟 😎 👊 👏 💪 👨 👨‍🦰 👨‍🦱 👨‍🦳 👨‍🦲 👬
先生	先生 🫡
光	光 🩵 🪶 🧨 🕯 💡
光明节	光明节 🕎
光环	光环 😇
光盘	光盘 🥏 💽 💿 📀
光秃的	光秃的 🪾
克利珀顿岛	克利珀顿岛 🇨🇵
克劳斯	克劳斯 🧑‍🎄
克罗地亚	克罗地亚 🇭🇷
免费	免费 🆓 🈶 🈚
免费按钮	免费按钮 🆓
兑换	兑换 💱
兔子	兔子 👯 👯‍♂️ 👯‍♀️ 🐰 🐇
兔耳朵的男人	兔耳朵的男人 👯‍♂️
兔脸	兔脸 🐰
入场	入场 🎟
入场券	入场券 🎫
全球	全球 🌐
八	八 🕗 🕣 🎱
八卦	八卦 💁
八号球	八号球 🎱
八点	八点 🕗
八点半	八点半 🕣
八球台球	八球台球 🎱
八角	八角 ✴
八角形	八角形 🛑
八角星	八角星 ✴
八辐	八辐 ✳
八辐星号	八辐星号 ✳
公主	公主 👸
公交车	公交车 🚍
公共	公共 📢
公共汽车	公共汽车 🚋 🚌 🚎 🚐
公园	公园 🏞 🛝 🎡 🎢
公文包	公文包 💼
公牛	公牛 🐂 🎯 ♉
公猪	公猪 🐗
公羊	公羊 🐏 ♈
公雁	公雁 🪿
公鸡	公鸡 🐓
六	六 🕕 🕡
六点	六点 🕕
六点半	六点半 🕡
六角	六角 🔯
六角手风琴	六角手风琴 🪗
关东煮	关东煮 🍢
关于	关于 🕉
关岛	关岛 🇬🇺
关机	关机 📴
关系	关系 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
关联	关联 🔗
关节	关节 👊
关键	关键 🍋‍🟩
关闭	关闭 😚 😙 🤐 😥 😓 🌂 📫 📪 🔒 🔐 ☑
兴奋	兴奋 😅 🤩 🥳 👻 💖 💗 👏 🤸 🤸‍♂️ 🤸‍♀️ 🎉
典礼	典礼 🎑
内向	内向 🫥
内存	内存 🐏
内衣	内衣 🩲 🩳
内裤	内裤 🩲
冈比亚	冈比亚 🇬🇲
再次	再次 🤦 🤦‍♂️ 🤦‍♀️ 🔄
再见	再见 👋 🫂
冒烟	冒烟 😤
写	写 ✍
写作	写作 ✍ 📔
写字的手	写字的手 ✍
军事	军事 🎖 🪖
军事奖章	军事奖章 🎖
军用头盔	军用头盔 🪖
军队	军队 🪖
农业	农业 🧺
农作物	农作物 🌽
农场	农场 🐴 🐎 🐮 🐂 🐄 🐷 🐖 🐽 🐑 🐐 🌽
农民	农民 🧑‍🌾 👨‍🌾 👩‍🌾
冠军	冠军 🏆
冥想	冥想 🙇 🙇‍♂️ 🙇‍♀️ 🧘 🧘‍♂️ 🧘‍♀️
冬季	冬季 🪾
冰	冰 🍦 🍧 🍨 🧊 ⛸
冰壶	冰壶 🥌
冰壶运动	冰壶运动 🥌
冰山	冰山 🧊
冰岛	冰岛 🇮🇸
冰柱	冰柱 🥶
冰淇淋	冰淇淋 🍦 🍨
冰球	冰球 🏒
冲刺	冲刺 💨 🏃 🏃‍♂️ 🏃‍♀️ 🏃‍➡️ 🏃‍♀️‍➡️ 🏃‍♂️‍➡️
冲浪	冲浪 🏄 🏄‍♂️ 🏄‍♀️ 🌊
冲浪者	冲浪者 🏄 🏄‍♂️ 🏄‍♀️ 🌊
决定	决定 💭
决斗	决斗 🤼 🤼‍♂️ 🤼‍♀️
冷	冷 🧊 🌨 🧥
冷却	冷却 🪭
冷脸	冷脸 🥶
冻伤	冻伤 🥶
冻结	冻结 🥶
准备好	准备好 🛄
凉爽	凉爽 🪭
凉爽按钮	凉爽按钮 🆒
凉鞋	凉鞋 🩴 👡
减	减 ➖
减号	减号 ➖
减少	减少 📉
几何	几何 🔴 🔵 ⚫ ⚪ ⬛ ⬜ ◼ ◻ ◾ ◽ ▪ ▫ 🔶 🔷 🔸 🔹 🔺 🔻 💠 🔘 🔳 🔲
几内亚	几内亚 🇬🇳
几内亚比绍	几内亚比绍 🇬🇼
凤凰	凤凰 🐦‍🔥
凸月	凸月 🌔 🌖
凸起	凸起 📫
凹槽	凹槽 💃 🕺
出发	出发 🛫
出汗	出汗 🥵 😰 😓
出现	出现 🐦‍🔥
出生	出生 🍼
出租车	出租车 🚕 🚖
出租车司机	出租车司机 🚕 🚖
出纳员	出纳员 🏧
击中	击中 🎯
击剑	击剑 🤺
击剑运动员	击剑运动员 🤺
击杀	击杀 🏆
击球	击球 🎳
刀	刀 🍽 🍴 🔪
刀叉	刀叉 🍴
刀片	刀片 🛼
分支	分支 🪹
分数	分数 💯
分类帐	分类帐 📒
分隔符	分隔符 🗂
切割	切割 🥩 ✂ 🪚
切片	切片 🍕 🍰 🥧
切肉	切肉 🥩
划分	划分 ➗
划掉	划掉 😵
划船	划船 🚣 🚣‍♂️ 🚣‍♀️
划艇	划艇 🚣 🚣‍♂️ 🚣‍♀️
列支敦士登	列支敦士登 🇱🇮
列表	列表 📋
列车	列车 🚂
刚果-布拉柴维尔	刚果-布拉柴维尔 🇨🇬
刚果-金沙萨	刚果-金沙萨 🇨🇩
创可贴	创可贴 🩹
初学者	初学者 🔰
初学者的日语符号	初学者的日语符号 🔰
初月	初月 🌛
刨冰	刨冰 🍧
利比亚	利比亚 🇱🇾
利比里亚	利比里亚 🇱🇷
别针	别针 🧷
到达	到达 🚆 🛬
制服	制服 🥋
刷子	刷子 🪥
刷新	刷新 🔃 🔄
刺	刺 🪼
刺客	刺客 🥷
刺猬	刺猬 🦔
刺绣	刺绣 🪡
刺针	刺针 🪼
剁碎	剁碎 🥩
剃光	剃光 🦲
剃刀	剃刀 🪒
剃须	剃须 💈 🪒
前进	前进 ⏩
剑	剑 🤺 ⚔
剧院	剧院 🎭
剪刀	剪刀 💇 💇‍♂️ 💇‍♀️ ✂
剪发	剪发 💇 💇‍♂️ 💇‍♀️ 💈
剪影	剪影 👤 👥
剪贴板	剪贴板 📋
副朝	副朝 🕋
劈	劈 🪓
力量	力量 🪠
办公大楼	办公大楼 🏢
办公室	办公室 🧑‍💼 👨‍💼 👩‍💼 🏢 🏣 🏤 💻
办公室职员	办公室职员 🧑‍💼
办理登机手续	办理登机手续 🛫
功率	功率 🪫
加	加 ➕
加勒比尼德兰	加勒比尼德兰 🇧🇶
加号	加号 ➕
加拿大	加拿大 🇨🇦
加纳	加纳 🇬🇭
加蓬	加蓬 🇬🇦
加那利群岛	加那利群岛 🇮🇨
动作	动作 🎬
动物	动物 😺 😸 😹 😻 😼 😽 🙀 😿 😾 🙉 🙊 🐵 🐒 🦍 🦧 🐶 🐕 🦮 🐕‍🦺 🐩 🐺 🦊 🦝 🐱 🐈 🐈‍⬛ 🦁 🐯 🐅 🐆 🐴 🫎 🫏 🐎 🦓 🦌 🦬 🐮 🐂 🐃 🐄 🐷 🐖 🐗 🐽 🐏 🐑 🐐 🐪 🐫 🦙 🦒 🐘 🦣 🦏 🦛 🐭 🐁 🐀 🐹 🐰 🐇 🐿 🦫 🦔 🦇 🐻 🐻‍❄️ 🐨 🐼 🦦 🦨 🦘 🦡 🐔 🐓 🐣 🐤 🐥 🐦 🐧 🦅 🦆 🦢 🦉 🦤 🦩 🦚 🦜 🐦‍⬛ 🪿 🐸 🐊 🐢 🦎 🐍 🐲 🐉 🐳 🐋 🐬 🦭 🐟 🐠 🐡 🦈 🐙 🐚 🪼 🦞 🦑 🐌 🐛 🐜 🐝 🪲 🐞 🦗 🪳 🕷 🪰 🪱
动物园	动物园 🐅 🐆 🐃 🐏 🐊
动画片	动画片 💭
勺子	勺子 🥣 🥄
勾选	勾选 ✅ ☑ ✔
包	包 🫩 🧳 👜 👝 🛍 🎒
包袋	包袋 🛍
包装	包装 🧳 🎁 🛃
包装的礼物	包装的礼物 🎁
包装纸	包装纸 🍬
包裹	包裹 🫔 📦
匆忙	匆忙 😰 🏃 🏃‍♂️ 🏃‍♀️ 🏃‍➡️ 🏃‍♀️‍➡️ 🏃‍♂️‍➡️
匈牙利	匈牙利 🇭🇺
匕首	匕首 🗡
化妆	化妆 💅 🪞
化妆品	化妆品 💅 💄
化学	化学 ⚗ 🧪
化学家	化学家 🧑‍🔬 👨‍🔬 👩‍🔬 🧪
化疗	化疗 🦲
北	北 ⬆
北极	北极 🐻‍❄️
北马其顿	北马其顿 🇲🇰
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
匹诺曹	匹诺曹 🤥
医学	医学 🩺 ⚕
医生	医生 😷 🧑‍⚕️ 👨‍⚕️ 👩‍⚕️ 🏥 🥼 💉 💊 🩺 🩻
医疗	医疗 😷 🩻 ⚕
医疗保健	医疗保健 🧑‍⚕️ 👨‍⚕️ 👩‍⚕️
医疗符号	医疗符号 ⚕
医药	医药 🏥
医院	医院 🏥
十	十 🕙 🕥
十一	十一 🕚 🕦
十一点	十一点 🕚
十一点半	十一点半 🕦
十二	十二 🕛 🕧
十二点	十二点 🕛
十二点半	十二点半 🕧
十亿	十亿 💰 💷 💸 💲
十八岁	十八岁 🔞
十八岁以下不得	十八岁以下不得 🔞
十字	十字 ❎
十字架	十字架 ⛪ ⛑ ✝ ☦ 🎌
十字标记	十字标记 ❌
十字标记按钮	十字标记按钮 ❎
十字路口	十字路口 🚦
十月节	十月节 🍺
十点	十点 🕙
十点半	十点半 🕥
升天	升天 🪽 🐦‍🔥
升起	升起 📬
升起旗帜的封闭式邮箱	升起旗帜的封闭式邮箱 📫
升降机	升降机 🚠 🛗
午餐	午餐 🍴
半挂车	半挂车 🚛
半身像	半身像 👤 👥
半身像剪影	半身像剪影 👥
华丽	华丽 🦚
华丽的	华丽的 🦩
华夫饼	华夫饼 🧇
协议	协议 🤝
卑鄙	卑鄙 👺
单峰骆驼	单峰骆驼 🐪
单次	单次 🔂
单片眼镜	单片眼镜 🧐
单轨列车	单轨列车 🚈 🚝
单选按钮	单选按钮 🔘
南	南 ⬇
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
南极洲	南极洲 🐧 🇦🇶
南瓜	南瓜 🥧 🎃
南瓜灯	南瓜灯 🎃
南苏丹	南苏丹 🇸🇸
南非	南非 🇿🇦
博士	博士 😷 🥼
博物馆	博物馆 🖼 🎨
博茨瓦纳	博茨瓦纳 🇧🇼
卡	卡 💳 🪪
卡塔尔	卡塔尔 🇶🇦
卡尔萨	卡尔萨 🪯
卡拉OK	卡拉OK 🎤
卡片	卡片 ♥ ♦ ♣ 🃏 🎴 🗂 📇 🗃 🪧
卡片文件盒	卡片文件盒 🗃
卡片索引	卡片索引 📇
卡片索引分隔符	卡片索引分隔符 🗂
卡车	卡车 🚒 🛻 🚚 🚛
卢旺达	卢旺达 🇷🇼
卢森堡	卢森堡 🇱🇺
卧底	卧底 👮 👮‍♂️ 👮‍♀️
卫兵	卫兵 💂 💂‍♂️ 💂‍♀️
卫星	卫星 🛰 📡
卫星天线	卫星天线 📡
